"name","pop_near","population","percent_near"
"Baden-Württemberg","3856061","11093335","0.34760160042043262914"
"Bayern","4755035","13013209","0.36540064791090345202"
"Berlin","2815120","3595270","0.78300656139872666031"
"Brandenburg","705495","2525867","0.27930805541226042385"
"Bremen","442329","692262","0.63896183814798443364"
"Hamburg","1307708","1808552","0.72306906298519478566"
"Hessen","3227557","6201895","0.52041464745855903720"
"Mecklenburg-Vorpommern","491630","1564024","0.31433660864539163082"
"Niedersachsen","2302811","7918095","0.29082891781419647024"
"Nordrhein-Westfalen","8217903","17868438","0.45991166099689295729"
"Rheinland-Pfalz","1214402","4088634","0.29701900439119764694"
"Saarland","271364","1006142","0.26970745680033235865"
"Sachsen","1209698","4029125","0.30023838922843049049"
"Sachsen-Anhalt","510222","2141681","0.23823435889845406482"
"Schleswig-Holstein","1204025","2917024","0.41275800267670063736"
"Thüringen","768104","2106271","0.36467482104629461261"
