"name","rewes","round","rewes_per_kilometer","population","rewes_per_10k"
"Berlin","159","891.14","0.1784","3595270","2.2611761006289308"
"Bremen","38","419.82","0.0905","692262","1.8217421052631579"
"Hamburg","83","980.89","0.0846","1808552","2.1789783132530120"
"Nordrhein-Westfalen","828","34112.60","0.0243","17868438","2.1580239130434783"
"Hessen","461","21115.74","0.0218","6201895","1.3453134490238612"
"Saarland","41","2572.07","0.0159","1006142","2.4540048780487805"
"Baden-Württemberg","427","36014.96","0.0119","11093335","2.5979707259953162"
"Rheinland-Pfalz","188","19857.76","0.0095","4088634","2.1748053191489362"
"Bayern","601","70576.52","0.0085","13013209","2.1652594009983361"
"Thüringen","114","16202.79","0.0070","2106271","1.8476061403508772"
"Niedersachsen","328","53462.14","0.0061","7918095","2.4140533536585366"
"Schleswig-Holstein","156","25583.46","0.0061","2917024","1.8698871794871795"
"Sachsen","110","18449.41","0.0060","4029125","3.6628409090909091"
"Brandenburg","104","29653.96","0.0035","2525867","2.4287182692307692"
"Sachsen-Anhalt","54","20554.80","0.0026","2141681","3.9660759259259259"
"Mecklenburg-Vorpommern","66","31007.43","0.0021","1564024","2.3697333333333333"
